,channel,title,view_count,like_count,was_live,duration_m,date_upload,hour_upload
6815,MiawAug,"The Floor Is LAVA di Counter-Strike Online Studio Mode, Ciptakan Map Kreasimu - Indonesia",2382565,41652,0,12.383,2018-02-18,12
6816,MiawAug,Kaget Sampe Lemes 😵 - The Inpatient - Indonesia #2,548057,14505,0,18.733,2018-02-17,12
6817,MiawAug,Zombie Dimana-mana 😑 - The Last Of Us Remastered - Indonesia #6,481801,13604,0,19.783,2018-02-16,12
6818,MiawAug,Cara Tembak Cewe - Q&A Valentine MiawAug,1036302,37144,0,10.817,2018-02-15,12
6819,MiawAug,Yahhh Ketangkep Gw 😩 - Remothered - Indonesia #3,255809,8444,0,31.383,2018-02-14,11
6820,MiawAug,Ketemu Zombie 😱 - The Last Of Us Remastered - Indonesia #5,664846,16698,0,30.517,2018-02-13,12
6821,MiawAug,Kucing Pemburu Ayam - Rules of Survival - Indonesia,1318161,32447,0,13.183,2018-02-12,13
6822,MiawAug,Otak Gw Di Cuci - The Inpatient - Indonesia #1,1016145,26021,0,20.317,2018-02-11,13
6823,MiawAug,Game HP Bagus Nich - Lineage 2 Revolution -  Pra Registrasi Indonesia,291496,6259,0,5.417,2018-02-11,10
6824,MiawAug,Istrinya Sudah Meninggal - Remothered - Indonesia #2,298012,8983,0,31.467,2018-02-10,13
6825,MiawAug,Lawan Cell - DRAGON BALL FighterZ - Indonesia #2,344388,7114,0,32.75,2018-02-08,10
6826,MiawAug,Menyembunyikan Ellie - The Last Of Us Remastered - Indonesia #4,672644,17289,0,28.267,2018-02-06,14
6827,MiawAug,Kesalahan Fatal - Until Dawn - Indonesia #11 (END),424448,11027,0,41.833,2018-02-05,13
6828,MiawAug,Motivasi MiawAug Buat Youtube ? #ChatDong 46,246979,13707,0,13.65,2018-02-04,12
6829,MiawAug,Main Horror di VR Pertama Kali - Until Dawn: Rush of Blood,6659211,105793,0,17.017,2018-02-03,12
6830,MiawAug,Investigasi Horror - Remothered - Indonesia #1,413236,14290,0,23.983,2018-02-02,13
6831,MiawAug,Tagih Utang - The Last Of Us Remastered - Indonesia #3,738993,18427,0,23.933,2018-01-31,13
6832,MiawAug,Kartun Gw Nich - DRAGON BALL FighterZ - Indonesia #1,869327,19119,0,31.433,2018-01-30,12
6833,MiawAug,Serem Coi Monsternya  - Until Dawn - Indonesia Part 10,295945,8630,0,44.367,2018-01-29,13
6834,MiawAug,Mulai Rusuh - The Last Of Us Remastered - Indonesia #2,1149797,26589,0,29.833,2018-01-28,13
6835,MiawAug,Game HP Baru - Epic of 3 Kingdoms - Indonesia IOS Android,208626,6130,0,12.9,2018-01-27,8
6836,MiawAug,Awal yang Sedih - The Last Of Us Remastered - Indonesia #1,2013581,48675,0,22.167,2018-01-26,14
6837,MiawAug,Malam Jumat Kurang Obat - Knuckles Da Wae,567047,13530,0,7.333,2018-01-25,14
6838,MiawAug,Akhir Yang Tragis - Freddy Fazbear's Pizzeria Simulator - Indonesia #6 (END),1718188,31733,0,25.7,2018-01-24,13
6839,MiawAug,Cewek Baru Nich - Kode Keras Buat Cowok Dari Cewek,3815503,60505,0,12.833,2018-01-23,13
6840,MiawAug,Terungkap Psychonya  - Until Dawn - Indonesia Part 9,293116,8338,0,48.167,2018-01-22,14
6841,MiawAug,Game Masak Yang Lucu - OverCooked - Indonesia,7500369,104290,0,17.717,2018-01-21,14
6842,MiawAug,Kalian Pilih Yang Mana ? - Would you rather - Indonesia,1323808,35686,0,6.4,2018-01-20,13
6843,MiawAug,Rahasia di FNAF 6 - Freddy Fazbear's Pizzeria Simulator - Indonesia #5,3466796,42781,0,21.283,2018-01-19,14
6844,MiawAug,Irithel di Nerf ? Sedih 😥 - Mobile Legends Indonesia,2265664,47166,0,13.717,2018-01-18,14
6845,MiawAug,Belajar Dari Kesalahan - Kode Keras Cewek,3740963,73951,0,14.0,2018-01-17,12
6846,MiawAug,Lawan The Devil 😈 - Cuphead - Indonesia (END),3036690,36193,0,18.733,2018-01-16,13
6847,MiawAug,Kok Ada Hantu 👻  - Until Dawn - Indonesia Part 8,596440,11964,0,40.133,2018-01-15,13
6848,MiawAug,Terlalu Sadis Caramu - Cooking Mama - Indonesia,7536571,120272,0,12.417,2018-01-14,14
6849,MiawAug,Tukang Jembatan - Bridge Constructor Portal - Indonesia,1783992,31025,0,25.167,2018-01-13,12
6850,MiawAug,Nasib Sebuah Sosis - Run Sausage Run! - Indonesia,4546676,52203,0,10.7,2018-01-12,12
6851,MiawAug,Lari Dari Penjara - Fleeing the Complex - Indonesia,6423985,84330,0,10.7,2018-01-11,14
6852,MiawAug,Malam Terpanik - Freddy Fazbear's Pizzeria Simulator - Indonesia #4,1218942,22456,0,18.65,2018-01-10,12
6853,MiawAug,Kebingungan 😵 - Until Dawn - Indonesia Part 7,384872,9090,0,39.5,2018-01-09,13
6854,MiawAug,Sikat 4 Boss 😛 - Cuphead - Indonesia Part 7,2246778,24965,0,15.017,2018-01-08,13
6855,MiawAug,CUKUP SUDAH 😵😭😡 - Getting Over It Indonesia,3553270,71585,0,10.917,2018-01-07,12
6856,MiawAug,Alot Boss 😎 - Balmond - Mobile Legends Indonesia,4003186,78725,0,14.333,2018-01-06,13
6857,MiawAug,Takut Gw Bro 😖 - Freddy Fazbear's Pizzeria Simulator - Indonesia #3,904249,20083,0,18.233,2018-01-05,13
6858,MiawAug,Kesalahan Besar 😞 - Until Dawn - Indonesia Part 6,350333,10259,0,45.633,2018-01-04,14
6859,MiawAug,Tebak Tebakan Bareng Cewe - Family 100 Indonesia,1067229,26321,0,12.783,2018-01-03,12
6860,MiawAug,Tahun Baru 2018 Di Manado,725052,37592,0,7.617,2018-01-01,9
6861,MiawAug,"Terima kasih 2017, Selamat datang 2018",291129,22234,0,12.683,2017-12-31,9
6862,MiawAug,Akhir yang Indah - RESIDENT EVIL 7 - End Of Zoe - Indonesia #4 (END),1170477,26145,0,15.267,2017-12-29,9
6863,MiawAug,Buaya Dimana mana - RESIDENT EVIL 7 - End Of Zoe - Indonesia #3,695348,15843,0,23.6,2017-12-28,10
6864,MiawAug,Mengungkap Bayangan Hitam - Hello Neighbor Indonesia (Act Final) END,7610290,125509,0,18.217,2017-12-27,9
6865,MiawAug,Monster Menyebalkan - RESIDENT EVIL 7 - End Of Zoe - Indonesia #2,617626,14918,0,22.0,2017-12-26,11
6866,MiawAug,Game Perusak Pertemanan - Party Panic Indonesia,4812511,73557,0,12.6,2017-12-25,12
6867,MiawAug,Bongkar Rahasia - Hello Neighbor Indonesia (Act 3 #4),13452090,148848,0,16.75,2017-12-24,13
6868,MiawAug,MiawAug VS Potato #TantanganNerf,9298613,232310,0,8.567,2017-12-24,9
6869,MiawAug,Kakek Perkasa - RESIDENT EVIL 7 - End Of Zoe - Indonesia #1,902434,20122,0,22.633,2017-12-23,13
6870,MiawAug,Game Lucu dan Seru - BarbarQ Indonesia - IOS Android,583902,13211,0,16.067,2017-12-23,8
6871,MiawAug,Pertarungan Youtuber Gaming - Party Panic Indonesia,5412143,74446,0,12.267,2017-12-22,13
6872,MiawAug,Gw Udah Siap ke Basement - Hello Neighbor Indonesia (Act 3 #3),35485643,326991,0,21.25,2017-12-21,12
6873,MiawAug,Akhir Riwayat Lucas - RESIDENT EVIL 7 - Not A Hero - Indonesia #3 (END),1585623,25480,0,30.15,2017-12-20,12
6874,MiawAug,Airnya Kaga Beku ??? - Hello Neighbor Indonesia (Act 3 #2),10065049,107120,0,19.483,2017-12-20,8
6875,MiawAug,Cerita Dibalik Youtube Rewind Gaming Indonesia 2017,3722935,119116,0,21.2,2017-12-18,14
6876,MiawAug,Cewe Selalu Benar - Kode Keras Cewek,3427395,68920,0,10.1,2017-12-17,12
6877,MiawAug,Masuk Jebakan Lucas - RESIDENT EVIL 7 - Not A Hero - Indonesia #2,678906,14423,0,28.6,2017-12-16,10
6878,MiawAug,Persiapan Ke Basement - Hello Neighbor Indonesia (Act 3 #1),12406918,112576,0,24.533,2017-12-15,13
6879,MiawAug,Xiaomi Mi A1 - Indonesia Review (Camera),284030,10079,0,5.6,2017-12-15,8
6880,MiawAug,Mencari Lucas - RESIDENT EVIL 7 - Not A Hero - Indonesia #1,990892,22970,0,23.967,2017-12-14,14
6881,MiawAug,Apaan Tuch ?? 👻 - Until Dawn - Indonesia Part 5,356425,10108,0,40.05,2017-12-13,12
